Function,Total_Syscalls,Total_Syscalls_Success,Total_Syscalls_Failed,Min,Max,Average,Stdev,Failure,Context,Increase
aafb,944,913,31,0.001,0.068,0.002028602,0.00217774,0,0.032838983,-0.032838983
a4ed,944,913,31,0.001,0.068,0.002028602,0.00217774,0,0.032838983,-0.032838983
5c41,5832,5178,654,0,0.074,0.002163409,0.002018151,0,0.112139918,-0.112139918
a14f,5832,5178,654,0,0.074,0.002163409,0.002018151,0,0.112139918,-0.112139918
6.80E+05,22,11,11,0,0.008,0.002272727,0.001750696,0,0.5,-0.5
681e,48,18,30,0,0.001,0.000625,0.000489246,0,0.625,-0.625
6.00E+31,48,18,30,0,0.001,0.000625,0.000489246,0,0.625,-0.625
6809,96,14,82,0,0.001,0.000854167,0.000354792,0,0.854166667,-0.854166667
e6fd,96,14,82,0,0.001,0.000854167,0.000354792,0,0.854166667,-0.854166667
e28f,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
db40,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
de43,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
e070,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
e9f9,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
c3b3,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
968e,100,14,86,0,0.002,0.0009,0.000414388,0,0.86,-0.86
6d90,7842,410,7432,0,0.074,0.002113874,0.00192988,0,0.947717419,-0.947717419
94b1,7720,307,7413,0,0.074,0.002129793,0.001939022,0,0.960233161,-0.960233161
5c77,944,1,943,0,0.025,0.002023305,0.000905672,0,0.998940678,-0.998940678
a58d,944,1,943,0,0.025,0.002023305,0.000905672,0,0.998940678,-0.998940678
7af0,11,0,11,0.003,0.008,0.003636364,0.001501514,0,1,-1
5c07,11,0,11,0.003,0.004,0.003727273,0.000467099,0,1,-1
a0d7,11,0,11,0.003,0.004,0.003727273,0.000467099,0,1,-1
6c2f,11,0,11,0.003,0.004,0.003727273,0.000467099,0,1,-1